Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500113.5.1,Summary,1950-01-13,05:25:00,3,Arkansas,-,-,3,1,1,17,0.6,Polk,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.4,-94.37,-,-,1,,4,Unmodified
19500212.5.2,Summary,1950-02-12,12:30:00,3,Arkansas,-,-,2,0,0,100,0.1,Grant,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.48,-92.4,-,-,1,,19,Unmodified
19500212.5.3,Summary,1950-02-12,15:00:00,3,Arkansas,-,-,2,0,0,100,5.7,Union,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.27,-92.95,33.35,-92.95,1,,23,Unmodified
19500326.5.4,Summary,1950-03-26,19:30:00,3,Arkansas,-,-,2,0,3,150,17.4,Clark,Hot Spring,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.12,-93.07,34.32,-92.88,1,,33,Unmodified
19500326.5.5,Summary,1950-03-26,19:31:00,3,Arkansas,-,-,3,0,1,200,5.7,Izard,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.15,-91.83,36.2,-91.75,1,,34,Unmodified
19500326.5.6,Summary,1950-03-26,20:30:00,3,Arkansas,-,-,2,0,7,600,10.4,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.7,-92.35,34.8,-92.22,1,,35,Unmodified
19500326.5.7,Summary,1950-03-26,21:15:00,3,Arkansas,-,-,3,0,20,1760,14.9,Prairie,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.98,-91.73,35.08,-91.5,1,,36,Unmodified
19500326.5.8,Summary,1950-03-26,23:30:00,3,Arkansas,-,-,2,0,2,833,5.4,Woodruff,-,-,-,-,-,-,-,-,-,-,-,-,,35.1,-91.4,35.15,-91.33,1,,37,Unmodified
19500402.5.9,Summary,1950-04-02,15:30:00,3,Arkansas,-,-,3,1,8,10,2.5,Jackson,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.75,-91.22,-,-,1,,49,Unmodified
19500402.5.10,Summary,1950-04-02,18:00:00,3,Arkansas,-,-,1,0,0,100,0.8,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.98,-89.92,-,-,1,,51,Unmodified
19500824.5.11,Summary,1950-08-24,03:45:00,3,Arkansas,-,-,2,0,7,200,3.6,Arkansas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.4,-91.43,34.43,-91.38,1,,184,Unmodified
19501202.5.12,Summary,1950-12-02,16:25:00,3,Arkansas,-,-,3,0,0,10,7.8,Izard,-,-,-,-,-,-,-,-,-,-,-,<$50,,36.12,-91.83,36.18,-91.72,1,,200,Unmodified
19510220.5.1,Summary,1951-02-20,09:15:00,3,Arkansas,-,-,2,0,3,333,112.8,Lonoke,Prairie,Woodruff,Cross,Poinsett,-,-,-,-,-,-,-,$5K-$50K,,34.6,-92.02,35.55,-90.4,1,,8,Unmodified
19511023.5.2,Summary,1951-10-23,03:00:00,3,Arkansas,-,-,2,0,4,10,0.1,Yell,-,-,-,-,-,-,-,-,-,-,-,-,,35,-93.5,-,-,1,,238,Unmodified
19520126.5.1,Summary,1952-01-26,15:30:00,3,Arkansas,-,-,1,0,0,10,0.1,Arkansas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.42,-91.4,-,-,1,,4,Unmodified
19520126.5.2,Summary,1952-01-26,16:00:00,3,Arkansas,-,-,1,0,0,10,0.1,Arkansas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.48,-91.55,-,-,1,,5,Unmodified
19520213.5.3,Summary,1952-02-13,16:30:00,3,Arkansas,-,-,2,0,5,10,0.3,Mississippi,-,-,-,-,-,-,-,-,-,-,-,-,,35.95,-90.15,-,-,1,,15,Unmodified
19520303.5.4,Summary,1952-03-03,05:45:00,3,Arkansas,-,-,1,0,0,50,0.6,Logan,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.13,-93.93,-,-,1,,41,Unmodified
19520321.5.5,Summary,1952-03-21,14:40:00,3,Arkansas,-,-,4,7,9,833,13,Howard,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.02,-94.02,34.22,-93.97,1,,52,Unmodified
19520321.5.6,Summary,1952-03-21,16:00:00,3,Arkansas,-,-,3,0,0,440,17.7,Saline,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.72,-92.82,34.78,-92.52,1,,53,Unmodified
19520321.5.10,Summary,1952-03-21,16:50:00,3,Arkansas,-,-,4,50,325,1760,14.6,White,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.22,-91.7,35.37,-91.52,1,,54,Unmodified
